Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
1676,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1678,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,2017,14,10,3,1,1,22,38,1,0,0,1,5
1678,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,1,2017,19,12,0,1,1,0,0,3,1,3,0,6
1679,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6
1681,13015,ESTATICA,IND-PLS13 ,3,2,2019,2,1,2019,16,25,7,1,1,0,0,3,3,0,0,4
1682,13015,ESTATICA,IND-PLS13 ,3,2,2019,2,0,0,8,20,4,1,1,18,0,0,0,0,0,5
1683,13015,ESTATICA,MEC-PLS13 ,3,1,2016,2,0,0,12,16,4,1,1,0,0,0,0,0,0,6
1683,13015,ESTATICA,MEC-PLS13 ,3,1,2017,2,0,0,8,16,7,1,1,5,8,0,0,0,0,5
1683,13015,ESTATICA,MEC-PLS13 ,3,1,2018,1,0,2018,13,19,6,1,1,30,0,0,0,0,0,5
1683,13015,ESTATICA,MEC-PLS13 ,3,2,2018,2,0,2018,12,0,0,1,1,0,0,1,0,0,1,5
1683,13015,ESTATICA,MEC-PLS13 ,3,1,2019,1,0,0,16,14,3,1,1,12,0,0,0,0,0,3
1683,13015,ESTATICA,MEC-PLS13 ,3,2,2019,2,1,2019,19,24,7,1,1,0,0,2,2,0,0,4
1684,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,10,14,2,1,1,0,0,0,0,0,0,5
1684,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,1,2017,14,25,6,1,1,0,0,2,2,0,0,5
1685,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1685,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,0,0,6,11,3,1,1,0,20,0,0,0,0,7
1685,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,0,0,10,24,2,0,0,0,0,0,0,0,0,6
1685,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,1,2019,9,21,3,1,1,34,0,2,0,2,0,7
1687,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,3,0,0,1,0,0,0,0,0,0,0,8
1687,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,1,0,1,1,0,0,0,0,0,0,0,6
1687,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,2,0,0,1,0,0,0,0,0,0,0,5
1689,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,1,2018,12,24,7,1,1,43,0,5,0,5,0,5
1691,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,1,2018,23,30,10,1,1,0,0,5,5,0,0,6
1692,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,1,2016,17,29,4,1,1,0,0,3,3,0,0,5
1694,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,11,7,2,1,1,10,0,0,0,0,0,5
1694,13015,ESTATICA,MCT-PLS13 ,3,1,2018,1,0,0,0,0,5,1,0,0,0,0,0,0,0,8
1694,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,0,0,10,12,6,1,1,0,0,0,0,0,0,6
1694,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,1,2019,18,20,4,1,1,16,0,3,0,3,0,5
1695,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,1,2019,21,29,4,1,1,0,0,5,5,0,0,5
1696,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,6,6,3,1,0,0,0,0,0,0,0,5
1696,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,0,0,4,5,6,1,0,0,0,0,0,0,0,5
1696,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,1,2018,12,19,5,1,1,40,0,3,0,3,0,6
1697,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,0,7,0,3,1,0,0,0,0,0,0,0,5
1697,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,0,0,11,17,2,1,1,0,0,0,0,0,0,6
