Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,SumProceso,Requisito,1R,2R,NF,1F,2F,3F,Abandono,Materias cursadas,Veces recursada
733,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,1,10,4,1,15,0,0,0,0,0,0,0,1,4,1
733,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,0,0,5,10,2,1,17,1,28,0,0,0,0,0,1,3,2
733,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,0,2018,11,19,5,1,35,1,0,0,1,0,1,1,0,3,3
733,13015,ESTATICA,CIV-PLS13 ,3,1,2019,1,0,2018,9,0,0,1,9,1,0,0,0,0,0,0,1,6,4
733,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,0,0,3,19,2,1,24,1,26,0,0,0,0,0,1,4,5
733,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,0,2020,9,0,2,1,11,1,0,0,1,0,1,0,1,3,6
733,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,3,13,0,1,16,0,0,0,0,0,0,0,1,5,7
733,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,1,2022,14,20,2,1,36,1,0,40,3,0,0,3,0,4,8
736,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,0,7,8,6,1,21,1,0,0,0,0,0,0,1,5,0
736,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,13,5,7,1,25,1,0,14,0,0,0,0,0,4,1
736,13015,ESTATICA,MCT-PLS13 ,3,1,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
736,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,0,2018,6,16,8,1,30,1,0,28,0,0,0,0,1,4,3
736,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,1,2018,16,18,0,1,34,1,31,0,4,0,4,0,0,6,4
737,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,11,12,3,1,26,1,5,8,0,0,0,0,1,2,0
737,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,1,2018,10,30,9,1,49,1,0,0,4,4,0,0,0,3,1
738,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,2016,9,21,5,1,35,1,0,0,0,0,0,0,1,5,0
738,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,1,2016,17,23,0,1,40,1,0,0,2,2,0,0,0,5,1
739,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,1,2016,16,24,5,1,45,1,0,0,2,2,0,0,0,6,0
740,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,1,2016,18,20,7,1,45,1,0,0,3,3,0,0,0,5,0
744,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,1,2016,17,18,4,1,39,1,0,0,2,2,0,0,0,4,0
745,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,2017,11,20,7,1,38,1,0,0,0,0,0,0,1,4,0
745,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,0,2017,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1
745,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,1,2018,11,14,7,1,32,1,40,0,4,0,4,0,0,4,2
746,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,7,2,4,1,13,0,0,0,0,0,0,0,1,5,0
746,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,10,16,3,1,29,1,8,24,0,0,0,0,1,5,1
746,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,1,2022,20,20,7,1,47,1,0,0,2,0,2,0,0,6,2
748,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,9,6,8,1,23,1,0,0,0,0,0,0,1,3,0
748,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,0,2018,15,8,7,1,30,1,30,0,0,0,0,0,0,2,1
748,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,1,2018,17,24,0,1,41,1,0,0,4,4,0,0,0,3,2
753,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
753,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,20,25,2,1,47,1,0,0,3,3,0,0,0,5,1
755,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0
758,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,0,13,15,4,1,32,1,0,0,0,0,0,0,0,5,0
758,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,2017,13,22,5,1,40,1,0,0,1,0,1,1,0,3,1
758,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,1,2017,16,0,0,1,16,1,32,0,2,0,2,0,1,5,2
761,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,9,17,6,1,32,1,10,24,0,0,0,0,1,5,0
761,13015,ESTATICA,MCT-PLS13 ,3,1,2018,1,1,2018,13,30,10,1,53,1,0,0,4,4,0,0,0,5,1
766,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,9,8,2,1,19,1,0,0,0,0,0,0,1,5,0
766,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,10,5,5,1,20,1,24,10,0,0,0,0,1,4,1
766,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,1,2018,12,26,6,1,44,1,0,0,2,2,0,0,0,5,2
767,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
767,13015,ESTATICA,ELE-PLS13 ,3,1,2021,1,1,2021,16,26,5,1,47,1,0,0,3,3,0,0,0,5,1
768,13015,ESTATICA,MEC-PLS13 ,3,1,2016,2,1,2016,18,22,7,1,47,1,0,0,3,3,0,0,0,5,0
770,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,1,2016,13,29,7,1,49,1,0,0,3,0,1,3,0,4,0
771,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,10,15,4,1,29,1,0,0,0,0,0,0,1,4,0
771,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,10,13,7,1,30,1,0,14,0,0,0,0,1,4,1
771,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,1,2018,12,21,8,1,41,1,0,0,2,2,0,0,0,5,2
774,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,2016,11,25,6,1,42,1,0,0,0,0,0,0,1,5,0
774,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,1,2016,11,24,0,1,35,1,0,0,3,3,0,0,0,4,1
777,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,1,2016,16,17,4,1,37,1,0,0,2,0,1,2,0,3,0
778,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,13,7,6,1,26,1,20,15,0,0,0,0,0,4,0
778,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,1,2018,12,20,6,1,38,1,0,0,2,2,0,0,0,4,1
779,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,1,2016,13,20,6,1,39,1,0,0,2,1,0,2,0,4,0
781,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,2,0,5,1,7,0,0,0,0,0,0,0,1,5,0
781,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,0,0,10,4,2,0,16,0,0,0,0,0,0,0,1,4,1
781,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,0,14,9,3,1,26,1,0,0,0,0,0,0,0,5,2
781,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,1,2019,17,17,4,1,38,1,0,0,4,1,4,0,0,4,3
783,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0
783,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1
